"Design Notes
(figma file here)",Fox Plan,MLB Plan
Card Header,"ESPN Unlimited, FOX One Bundle",Plastic
Bullet 1,All ESPN networks and ESPN+,"Everything and MLB TV. Maybe Little League, I don’t know"
Bullet 2,"FOX Sports, FS1, FS2, BTN, and more",ESPN and MLB
Bullet 3,"NFL, NBA, College football, and more",MLB
Disclaimer,"*Disney+, Hulu, ESPN Unlimited Bundle is an ad-supported plan. New and eligible returning subscribers only. 18+. After 12 months, plan auto-renews at then-current monthly retail price ($35.99/month for ad-supported plan or $44.99/month for premium plan) until canceled. Offer ends 1/5/26. Additional Terms apply. **Savings compared to the then-current regular monthly price of each plan. *** ESPN Unlimited, FOX One Bundle: U.S. residents, 18+ only. Offer valid for eligible subscribers only. Access content from each service separately. Feature and device compatibility varies by service. Each service is subject to its respective terms. For more information, including info on billing and cancelation, visit ESPN Fan Support. For questions about FOX One, visit Fox.com. Additional Terms Apply","*Disney+, Hulu, ESPN Unlimited Bundle is an ad-supported plan. New and eligible returning subscribers only. 18+. After 12 months, plan auto-renews at then-current monthly retail price ($35.99/month for ad-supported plan or $44.99/month for premium plan) until canceled. Offer ends 1/5/26. Additional Terms apply. **Savings compared to the then-current regular monthly price of each plan. *** ESPN Unlimited, FOX One Bundle: U.S. residents, 18+ only. Offer valid for eligible subscribers only. Access content from each service separately. Feature and device compatibility varies by service. Each service is subject to its respective terms. For more information, including info on billing and cancelation, visit ESPN Fan Support. For questions about FOX One, visit Fox.com. Additional Terms Apply"
,,
Privacy Modal,,
Header,Heads up!,Heads up!
Body,"By signing up for the ESPN Unlimited, FOX One Bundle, you direct ESPN to share your email address & subscription details with FOX for eligibility and other purposes. For more information regarding your choices, click here.","By signing up for the ESPN Unlimited, FOX One Bundle, you direct ESPN to share your email address & subscription details with FOX for eligibility and other purposes. For more information regarding your choices, click here."
CTA 1,Go Back,Go Back
CTA 2,Continue,Continue
,,
Roadblock Variant 1:,,
Header,It looks like you have an existing subscription,It looks like you have an existing subscription
Body,"You're unable to proceed with the ESPN Unlimited, FOX One Bundle due to your current FOX subscription. Visit FOX to proceed with purchasing the bundle, or go back to select another ESPN plan option.","You're unable to proceed with the ESPN Unlimited, FOX One Bundle due to your current FOX subscription. Visit FOX to proceed with purchasing the bundle, or go back to select another ESPN plan option."
CTA 1,Visit FOX,Visit FOX
CTA 2,Go Back,Go Back
FAQ copy,"For more information, visit our FAQs. ","For more information, visit our FAQs. "
,,
"Roadblock Variant 2 (Generic, not specific to FOX)",,
Header,It looks like you have an existing subscription,It looks like you have an existing subscription
Body,"If you're looking to switch plans, see what you're eligible for by clicking the link below.","If you're looking to switch plans, see what you're eligible for by clicking the link below."
CTA 1,See Eligible Plans,See Eligible Plans
CTA 2,Continue to ESPN,Continue to ESPN
FAQ copy,"For more information, visit our FAQs. ","For more information, visit our FAQs. "
,,
SUF ,,
Header,You're All Set!,You're All Set!
,"You successfully purchased ESPN Unlimited, FOX One Bundle. You can now stream thousands of sports events from all ESPN networks and services, originals, and shows, and FOX Sports, FS1, FS2, BTN, and more. Start watching in your browser by clicking the button below or download our app and watch on any supported devices.","You successfully purchased ESPN Unlimited, FOX One Bundle. You can now stream thousands of sports events from all ESPN networks and services, originals, and shows, and FOX Sports, FS1, FS2, BTN, and more. Start watching in your browser by clicking the button below or download our app and watch on any supported devices."
CTA,Stream Now,Stream Now
,Activate FOX One,Activate FOX One
Switch Success,,
Header,You're All Set!,You're All Set!
,"You have successfully updated your plan to ESPN Unlimited, FOX One Bundle, effective immediately.","You have successfully updated your plan to ESPN Unlimited, FOX One Bundle, effective immediately."
CTA,Stream Now,Stream Now
,,
Fox Disclaimer Draft from Legal,,
